Lat,Lon,Date
46.475971,-114.512947,2021-07-11
46.482201,-114.528595,2021-07-11
46.469479,-114.534966,2021-07-11
46.469627,-114.512939,2021-07-11
46.469536,-114.526291,2021-07-11
46.475922,-114.520439,2021-07-11
46.475883,-114.525734,2021-07-11
46.475822,-114.534492,2021-07-11
46.475853,-114.530289,2021-07-11
46.641319,-114.652061,2021-07-11
46.654057,-114.640778,2021-07-11
46.641384,-114.645721,2021-07-11
46.628639,-114.658424,2021-07-11
46.52689,-115.044838,2021-07-11
46.634884,-114.664749,2021-07-11
46.62859,-114.663765,2021-07-11
46.634949,-114.658287,2021-07-11
46.647762,-114.639503,2021-07-11
46.654644,-114.586098,2021-07-11
46.64761,-114.653587,2021-07-11
46.641247,-114.65889,2021-07-11
46.653973,-114.648468,2021-07-11
46.654129,-114.633881,2021-07-11
46.647694,-114.64579,2021-07-11
46.654198,-114.627678,2021-07-11
46.660339,-114.643074,2021-07-11
46.650715,-114.587265,2021-07-11
46.650368,-114.647484,2021-07-11
46.650452,-114.634041,2021-07-11
46.650414,-114.640396,2021-07-11
46.656803,-114.627975,2021-07-11
46.650326,-114.655037,2021-07-11
46.656715,-114.64225,2021-07-11
46.656761,-114.634781,2021-07-11
47.133133,-114.64772,2021-07-11
47.133091,-114.653397,2021-07-11
47.133183,-114.641006,2021-07-11
47.126778,-114.65229,2021-07-11
47.12682,-114.646637,2021-07-11
47.126869,-114.64016,2021-07-11
47.448963,-114.786316,2021-07-11
47.455231,-114.78894,2021-07-11
47.45528,-114.783188,2021-07-11
47.458096,-114.783722,2021-07-12
47.460526,-114.777603,2021-07-12
47.457245,-114.778664,2021-07-12
47.456375,-114.773514,2021-07-12
47.133072,-114.65377,2021-07-12
47.133766,-114.637512,2021-07-12
47.13464,-114.642578,2021-07-12
47.130863,-114.651367,2021-07-12
47.13171,-114.656296,2021-07-12
47.131367,-114.643799,2021-07-12
47.132229,-114.648811,2021-07-12
46.903797,-114.016953,2021-07-12
46.473778,-114.512558,2021-07-12
46.64547,-114.64579,2021-07-12
46.646347,-114.650871,2021-07-12
46.663467,-114.628784,2021-07-12
46.648991,-114.585312,2021-07-12
46.665859,-114.622429,2021-07-12
