Lat,Lon,Date
46.35,-114.761,2021-07-15
46.4555,-114.5315,2021-07-15
46.3561,-114.7579,2021-07-15
46.464,-114.5269,2021-07-15
46.4824,-114.5198,2021-07-15
46.4616,-114.513,2021-07-15
46.4523,-114.5162,2021-07-15
46.4847,-114.533,2021-07-15
46.6348,-114.6374,2021-07-15
46.4591,-114.499,2021-07-15
46.4734,-114.5243,2021-07-15
46.6347,-114.6363,2021-07-15
46.4662,-114.5221,2021-07-15
46.4589,-114.4928,2021-07-15
46.4603,-114.5304,2021-07-15
46.4531,-114.5283,2021-07-15
46.4533,-114.5019,2021-07-15
46.4457,-114.499,2021-07-15
46.4495,-114.5289,2021-07-15
46.4513,-114.5061,2021-07-15
46.4612,-114.5303,2021-07-15
46.4831,-114.5544,2021-07-15
46.4849,-114.5311,2021-07-15
46.3517,-114.7592,2021-07-15
46.35,-114.7802,2021-07-15
46.6435,-114.6641,2021-07-15
46.473,-114.5311,2021-07-15
46.4528,-114.5087,2021-07-16
46.8238,-113.3083,2021-07-16
46.4426,-114.4972,2021-07-16
46.807,-113.3263,2021-07-16
46.4406,-114.5018,2021-07-16
46.4454,-114.54,2021-07-16
46.8125,-113.3018,2021-07-16
46.8188,-113.3307,2021-07-16
46.4591,-114.5031,2021-07-16
46.4418,-114.4964,2021-07-16
46.4413,-114.5022,2021-07-16
46.4596,-114.4971,2021-07-16
46.4464,-114.4914,2021-07-16
46.4512,-114.4859,2021-07-16
46.8298,-113.3271,2021-07-16
46.8145,-113.2967,2021-07-16
46.8126,-113.2655,2021-07-16
46.828,-113.2972,2021-07-16
46.8163,-113.3267,2021-07-16
46.4606,-114.4905,2021-07-16
46.8147,-113.2756,2021-07-16
46.4455,-114.4901,2021-07-16
46.8287,-113.3233,2021-07-16
46.4524,-114.4903,2021-07-16
46.8123,-113.2851,2021-07-16
46.4578,-114.5067,2021-07-16
46.8236,-113.3131,2021-07-16
46.3554,-114.7477,2021-07-16
46.8144,-113.3153,2021-07-16
46.4689,-114.519,2021-07-16
46.4595,-114.5212,2021-07-16
46.456,-114.4917,2021-07-16
46.6271,-114.6353,2021-07-16
46.8127,-113.3017,2021-07-16
46.4483,-114.5092,2021-07-16
46.8219,-113.2998,2021-07-16
46.45,-114.5234,2021-07-16
46.3572,-114.7634,2021-07-16
46.811,-113.2883,2021-07-16
46.8156,-113.3162,2021-07-16
46.4413,-114.5262,2021-07-16
46.815,-113.3277,2021-07-16
46.4779,-114.5258,2021-07-16
46.4454,-114.5056,2021-07-16
46.4497,-114.4845,2021-07-16
46.456,-114.5101,2021-07-16
46.8113,-113.2906,2021-07-16
46.4349,-114.5012,2021-07-16
46.4521,-114.5296,2021-07-16
46.6302,-114.6397,2021-07-16
46.8082,-113.307,2021-07-16
46.8181,-113.3111,2021-07-16
46.8049,-113.3248,2021-07-16
46.4392,-114.4801,2021-07-16
46.4592,-114.4836,2021-07-17
46.448,-114.501,2021-07-17
46.4575,-114.4965,2021-07-17
46.81,-113.3078,2021-07-17
46.3491,-114.7559,2021-07-17
46.4497,-114.4882,2021-07-17
46.4541,-114.5226,2021-07-17
46.8117,-113.2934,2021-07-17
46.4463,-114.5139,2021-07-17
46.3474,-114.7688,2021-07-17
46.8192,-113.31,2021-07-17
46.4374,-114.5113,2021-07-17
46.4391,-114.4986,2021-07-17
46.8145,-113.291,2021-07-17
46.8165,-113.3041,2021-07-17
46.8057,-113.294,2021-07-17
46.3474,-114.7493,2021-07-17
46.4395,-114.495,2021-07-17
46.8115,-113.3088,2021-07-17
46.8138,-113.3003,2021-07-17
46.4508,-114.4904,2021-07-17
46.444,-114.5155,2021-07-17
46.3512,-114.7397,2021-07-17
46.3554,-114.7593,2021-07-17
46.3443,-114.7638,2021-07-17
46.4553,-114.5108,2021-07-17
46.3513,-114.7527,2021-07-17
46.8102,-113.3108,2021-07-17
46.3415,-114.7505,2021-07-17
46.3497,-114.7677,2021-07-17
46.4519,-114.4863,2021-07-17
46.4504,-114.5014,2021-07-17
46.3398,-114.7664,2021-07-17
46.4486,-114.5176,2021-07-17
46.3522,-114.7595,2021-07-17
45.8311,-114.9677,2021-07-17
46.3537,-114.7449,2021-07-17
46.4769,-114.5286,2021-07-17
46.4388,-114.5148,2021-07-17
46.7998,-113.3071,2021-07-17
46.4403,-114.4997,2021-07-17
46.1232,-113.4429,2021-07-17
46.4512,-114.5095,2021-07-18
